Allan Gardens,(west end) 160 Gerrard Street East,1,DogPark
Barbara Hall Park,519 Church Street at Wellesley Street East,2,DogPark
Bickford Park, 400 Grace Street Canada,3,DogPark
Bill Johnston Park, 65 Western Battery Rd.,4,DogPark
Cassels Playground,69 Cassels Avenue Ontario,5,DogPark
Cedarvale Park, 1611 Bathurst Street Ontario,6,DogPark
Clarence Square,25 Clarence Square,7,DogPark
Coronation Park,711 Lake Shore Blvd. W.,8,DogPark
Craigleigh Gardens, 160 South Drive.,9,DogPark
David Crombie Park,131 to 171 The Esplanade at Lower Sherbourne Street,10,DogPark
Don Valley Brick,550 Bayview Avenue,11,DogPark
Gerrard Carlaw, 855 Gerrard St. E.,12,DogPark
Greenwood Park, 150 Greenwood Avenue at Dundas Street East,13,DogPark
Hideaway Park, 23 Audley Ave.,14,DogPark
Hillcrest Park,950 Davenport Road at Christie,15,DogPark
Kew Gardens, 2075 Queen Street East at Lee Avenue At the foot of Lee Avenue,16,DogPark
Merrill Bridge, 1 East Lynn Ave.,17,DogPark
Monarch Park,115 Hanson Street at CNR tracks,18,DogPark
Norwood Park,16 Norwood Road,19,DogPark
Oakcrest Parkette, 30 Oakcrest Avenue at Woodbine Avenue,20,DogPark
Orphan's Greenspace, 51 Power St.,21,DogPark
Park Drive, 200 Park Drive at Mt. Pleasant Road,22,DogPark
Ramsden Park, 215 Avenue Road,23,DogPark
Riverdale Park East,550 Broadview Ave,24,DogPark
Riverdale Park West ,375 Sumach Street at Carlton Street,25,DogPark
Sir Winston Churchill,301 St. Clair Ave. W.,27,DogPark
Sorauren Avenue Park,289 Sorauren Ave.,28,DogPark
South Stanley Park,845 King Street West,29,DogPark
Stan Wadlow Park,888 Cosburn Ave.,30,DogPark
St. Andrew's, 450 Adelaide St.W.,31,DogPark
Thompson Street,120 Broadview Ave,32,DogPark
Trinity Bellwoods Park ,790 Queen Street West at Shaw Street,33,DogPark
Vermont Square, 819 Palmerston Ave.,34,DogPark
Wildwood Crescent,110 Wildwood Crescent ,35,DogPark
Withrow Park, 725 Logan Avenue at Danforth Ave.,36,DogPark
Wychwood Car Barns,76 Wychwood Ave ,37,DogPark
Brimley Animal Clinic,807 Brimley Rd,38,Vet
Cedarbrae Vet Clinic,700 Markham Rd,39,Vet
Markham Animal Hospital,900 Markham Rd,41,Vet
Guildwood Village Animal Clinic,123 Guildwood Parkway,42,Vet
Birchmount Vet Clinic,1563 Birchmount Rd,43,Vet
Bloorcourt Veterinary Clinic,1079 Bloor Street West,44,Vet
Trinity Mews Veterinary Clinic,100 Queen Street West,45,Vet
Spadina Animal Hospital,125 Spadina Ave,46,Vet
Sherbourne Animal Hospital,320 Richmond St E ,47,Vet
Vet on Wheels,167 Parliament St,48,Vet
